Wine,Price,Body,Tannins,Fruit,Acid
Sogrape Mateus Rosé,8.95,N/A,N/A,berry,low acidity
Mommessin Cuvee St Pierre Rouge,8.45,N/A,N/A,berry,N/A
Chiarli Castelvetro Lambrusco,10.3,full body,N/A,berry,N/A
Blue Nun Deutscher Tafelwein,9.45,light body,N/A,stone fruit,low acidity
Folonari Valpolicella Classico DOC,14.95,N/A,low tannins,berry,low acidity
Mouton Cadet Bordeaux Red AOC,16.45,N/A,N/A,N/A,N/A
Andrès Baby Duck,12.6,N/A,N/A,fruity,high acidity
Fontana Di Papa White,14.7,light body,N/A,citrus,low acidity
Flat Rock Pinot Noir,20.95,light body,N/A,berry,N/A
Flat Rock Twisted White,17.95,N/A,N/A,N/A,N/A
Ruffino Chianti,12.95,medium body,N/A,berry,N/A
Angels Gate Chardonnay VQA,14.95,light body,N/A,stone fruit,high acidity
Spumante Bambino,9.45,N/A,N/A,fruity,N/A
Susana Balbo Crios Torrontés,14.95,N/A,N/A,stone fruit,N/A
Mouton Cadet Bordeaux White AOC,15.95,N/A,N/A,citrus,low acidity
Pisse-Dru Beaujolais,13.95,N/A,N/A,fruity,N/A
Fontana Di Papa Red,14.7,N/A,low tannins,fruity,N/A
Brights 74 Tawny,9.25,full body,N/A,citrus,N/A
20 Bees Chardonnay VQA,11.95,N/A,N/A,N/A,high acidity
Spumante Bambino,15.95,N/A,N/A,fruity,N/A
Aveleda Vinho Verde,11.45,N/A,N/A,citrus,high acidity
Folonari Valpolicella Classico DOC,9.95,N/A,low tannins,berry,low acidity
20 Bees Cabernet Merlot VQA,12.95,N/A,N/A,berry,N/A
"Torres Sangre De Toro Garnacha, Catalunya DO",13.95,N/A,N/A,berry,N/A
KWV Roodeberg Red,12.95,N/A,N/A,N/A,high acidity
"Deinhard Green Label Riesling, Mosel",11.95,N/A,N/A,citrus,low acidity
Mogen David Concord KP,7.45,N/A,N/A,berry,high acidity
Rodet CdRhone AOC,14.45,N/A,N/A,berry,N/A
Henkell Trocken Piccolo,12.95,N/A,N/A,citrus,N/A
Bouchard Aine & Fils Beaujolais Superieur,12.95,N/A,N/A,N/A,N/A
Navip Riesling,9.45,N/A,N/A,citrus,N/A
Anselme La Fiole Du Pape Chateauneuf-Du-Pape AOC,39.95,N/A,N/A,berry,high acidity
Remy Pannier Rose D'Anjou AOC,16.05,light body,N/A,fruity,low acidity
Sogrape Mateus Rose,17.95,N/A,N/A,berry,low acidity
Sperone Marsala Fine DOC,14.45,full body,N/A,N/A,N/A
Williams & Humbert Dry Sack Sherry,14.0,full body,N/A,N/A,N/A
Velletri Le Contrade Red IGP,18.95,N/A,N/A,berry,N/A
Sogrape Grao Vasco Dao,8.95,N/A,N/A,N/A,N/A
3 Rings Shiraz 2015,19.95,N/A,N/A,berry,N/A
Yellowglen Pink Sparkling,12.95,light body,N/A,citrus,low acidity
Moselland Bernkasteler Kurfurstlay Riesling,11.95,N/A,N/A,stone fruit,high acidity
Wolf Blass Yellow Label Cabernet Sauvignon,9.95,N/A,N/A,berry,N/A
Brights 74 Tawny,13.25,full body,N/A,citrus,N/A
Wolf Blass Yellow Label Chardonnay,8.95,N/A,N/A,tropical fruit,N/A
Peller Family Vineyards Cabernet Merlot,11.95,N/A,N/A,berry,high acidity
Peller Family Vineyards Chardonnay,11.95,medium body,N/A,citrus,high acidity
Peller Family Vineyards Pinot Grigio,11.95,light body,N/A,tropical fruit,low acidity
JJ McWilliam Shiraz Cabernet,10.35,N/A,low tannins,berry,N/A
Bolla Valpolicella Classico,14.95,N/A,N/A,berry,N/A
Cave de Tain Esprit de Granit Saint-Joseph 2015,37.25,N/A,N/A,berry,N/A
Citra Pinot Grigio Terre Di Chieti IGP,9.5,N/A,N/A,citrus,high acidity
Peller Estates Private Reserve Vidal Icewine,27.3,full body,N/A,N/A,N/A
The Vinecrafter Chenin Blanc,9.95,N/A,N/A,stone fruit,high acidity
Inniskillin Oak-Aged Vidal Icewine 2015,89.95,N/A,N/A,stone fruit,N/A
Andrès Fine Old Apera,9.2,N/A,N/A,fruity,N/A
Brights Classic Cream,9.25,N/A,N/A,N/A,N/A
Jacob's Creek Shiraz Cabernet Sauvignon,23.95,N/A,N/A,fruity,N/A
Veuve Clicquot Rose Champagne,89.9,N/A,N/A,citrus,high acidity
Fontanafredda Barolo DOCG,31.9,N/A,N/A,berry,N/A
G.A. Schmitt Winzertanz,14.95,N/A,N/A,stone fruit,high acidity
Yellow Tail Shiraz,23.95,N/A,N/A,berry,low acidity
Yellow Tail Chardonnay,20.95,medium body,N/A,tropical fruit,high acidity
Manischewitz Blackberry K,8.15,N/A,N/A,citrus,N/A
Montes Alpha Merlot 2015,19.95,N/A,N/A,fruity,N/A
Jackson-Triggs Pinot Grigio,18.95,N/A,N/A,citrus,high acidity
Chateau de Gourgazaud Minervois AOC,13.95,N/A,medium tannins,berry,N/A
Sandeman Ruby Port,15.95,full body,N/A,fruity,N/A
Santa Rita 120 Reserva Especial Sauvignon Blanc,12.05,N/A,N/A,stone fruit,high acidity
Thirty Bench Riesling,20.95,N/A,N/A,stone fruit,high acidity
Fazi Battaglia Verdicchio Dei Castelli Di Jesi DOC,12.35,N/A,N/A,stone fruit,high acidity
Château Cantenac 2014,34.95,N/A,N/A,N/A,N/A
Stone's Green Ginger,11.45,N/A,N/A,N/A,N/A
Wincarnis Aperitif Wine,10.35,N/A,N/A,citrus,N/A
Irony Cabernet Sauvignon 2016,24.95,N/A,N/A,berry,high acidity
Fonseca Periquita Red,9.0,N/A,N/A,berry,N/A
Isole e Olena Cepparello 2015,108.95,full body,N/A,citrus,high acidity
Folonari Valpolicella Classico DOC,24.9,N/A,low tannins,berry,low acidity
Danzante Pinot Grigio Delle Venezie IGT,14.9,N/A,N/A,stone fruit,high acidity
Flat Roof Manor Pinot Grigio,11.95,N/A,N/A,citrus,high acidity
Casa Dos Vinhos 5 Years Old Madeira,20.4,N/A,N/A,N/A,N/A
J. Lohr Los Osos Merlot,22.95,full body,medium tannins,fruity,N/A
Ruffino Il Ducale Toscana IGP,19.95,N/A,N/A,berry,N/A
Masi Modello Merlot Trevenezie IGT,21.05,N/A,N/A,N/A,low acidity
Goose Bay Sauvignon Blanc KPM,25.5,N/A,N/A,citrus,N/A
Dalton Safsufa Vineyards Cabernet Sauvignon KPM,25.95,light body,N/A,berry,N/A
Fat Bastard Cabernet Sauvignon Pays D'OC,14.95,N/A,N/A,berry,N/A
Cantine Due Palme Canonico Negroamaro Salento IGP,19.55,N/A,N/A,fruity,low acidity
Misterio Malbec,10.0,medium body,N/A,fruity,N/A
Ciao Sangiovese Organic Terra De Chieti IGP,12.55,N/A,N/A,fruity,N/A
Chateau Timberlay Bordeaux Superieur AOC,16.95,full body,N/A,N/A,N/A
Concha y Toro Winemaker's Lot 148 Carmenère,15.95,full body,medium tannins,berry,N/A
Ruffino Orvieto Classico,12.95,N/A,low tannins,citrus,high acidity
Carmen Gran Reserva Sauvignon Blanc 2017,16.95,N/A,N/A,citrus,N/A
Osborne Santa Maria Cream Sherry,13.95,full body,N/A,citrus,N/A
Mommessin Export St Pierre Rouge,14.95,N/A,N/A,berry,N/A
Calvet Reserve des Remparts Saint Emilion AOC,19.95,N/A,N/A,berry,N/A
Fantini Farnese Sangiovese IGT,14.95,light body,medium tannins,berry,N/A
Liebfraumilch Drathen Qualitatswein Rheinhessen,11.05,N/A,N/A,fruity,high acidity
Marques De Riscal Rioja Reserva,26.05,light body,N/A,citrus,N/A
Folonari Pinot Noir IGT,15.95,N/A,N/A,berry,high acidity
Collavini Pinot Grigio,14.95,N/A,N/A,citrus,N/A
Chateau Puyfromage Francs Cotes De Bordeaux AOC,16.95,medium body,N/A,berry,N/A
La Vieille Ferme Cotes du Luberon White,21.75,N/A,N/A,citrus,low acidity
Pascual Toso Malbec,14.25,medium body,N/A,N/A,low acidity
Kim Crawford Sauvignon Blanc,17.95,light body,N/A,N/A,high acidity
Castano Coleccion 2014,19.25,N/A,N/A,N/A,N/A
Kopke Fine Ruby Port,15.6,full body,N/A,fruity,high acidity
Torres Gran Coronas Reserva Cabernet Sauvignon,19.95,N/A,low tannins,N/A,N/A
Marques De Riscal Rueda DO,13.4,N/A,N/A,stone fruit,high acidity
Folonari Soave DOC,16.9,N/A,N/A,citrus,high acidity
Trivento Amado Sur Malbec/Bonarda/Syrah 2016,16.95,N/A,N/A,fruity,high acidity
Veuve Clicquot Ice Jacket,74.35,N/A,N/A,N/A,N/A
Fontana Di Papa Red,19.35,N/A,low tannins,fruity,N/A
San Pedro 1865 Selected Vineyards Cabernet Sauvignon 2016,19.95,N/A,low tannins,fruity,N/A
Negrar Valpolicella DOC,21.95,full body,N/A,berry,low acidity
Raymond Reserve Merlot 2014,38.95,N/A,medium tannins,berry,high acidity
Vineland Estates Elevation St. Urban Vineyard Riesling,19.95,N/A,N/A,stone fruit,N/A
Veuve Clicquot Demi Sec Champagne,79.6,full body,N/A,stone fruit,N/A
Château des Charmes Cabernet Merlot VQA,6.95,N/A,low tannins,berry,N/A
Lou Coucardié Rouge 2012,35.0,full body,high tannins,berry,N/A
Yalumba Samuel's Garden Collection Wild Ferment Chardonnay 2016,24.95,N/A,N/A,stone fruit,high acidity
Cuatro Pasos Mencía 2015,18.95,N/A,N/A,fruity,high acidity
Henkell Trocken,8.75,N/A,N/A,citrus,N/A
Woodbridge By Robert Mondavi Sauvignon Blanc,13.75,N/A,N/A,citrus,high acidity
Ruffino Chianti,28.75,medium body,N/A,berry,N/A
Mitolo Jester Cabernet Sauvignon 2016,22.95,N/A,N/A,fruity,N/A
Flat Rock Riesling,17.95,N/A,N/A,N/A,N/A
Negrar Amarone Classico DOCG,34.95,full body,low tannins,berry,N/A
Ruffino Chianti Classico Riserva Ducale,25.95,N/A,N/A,berry,high acidity
Pelee Island Nest Pinot Noir,11.95,N/A,N/A,berry,N/A
Beringer Founders' Estate Pinot Grigio,17.95,N/A,N/A,stone fruit,high acidity
Bonterra The McNab 2013,48.25,N/A,medium tannins,berry,N/A
Kourtaki Retsina of Attiki,9.95,N/A,N/A,N/A,N/A
Taylor Fladgate Late Bottled Vintage Port,15.95,full body,low tannins,berry,high acidity
Fontana Di Papa White,19.35,light body,N/A,citrus,low acidity
Louis Bouillot Perle d'Aurore Brut Rosé Crémant de Bourgogne,21.95,N/A,N/A,citrus,N/A
Lakeview Cellars Syrah 2015,24.95,full body,N/A,berry,N/A
Beronia Reserva,21.95,N/A,N/A,berry,N/A
Chanson Réserve du Bastion Pinot Noir,24.95,N/A,N/A,berry,N/A
Bouchard Père & Fils Petit Chablis,24.95,medium body,N/A,citrus,high acidity
Bouchard Père & Fils Macon-Lugny Saint-Pierre,19.95,full body,N/A,citrus,N/A
Lakeview Cellars Cabernet Franc Icewine 2017,29.95,N/A,N/A,berry,high acidity
Peninsula Ridge Sauvignon Blanc VQA,15.95,N/A,N/A,tropical fruit,N/A
Dan Aykroyd Cabernet Merlot VQA,14.95,N/A,N/A,fruity,low acidity
Jaffelin Bourgogne Aligote AOC,17.95,N/A,N/A,citrus,high acidity
Villa Antinori Toscana IGT,24.95,N/A,low tannins,berry,N/A
Barefoot Pinot Grigio,9.95,N/A,N/A,stone fruit,high acidity
Barefoot Merlot,10.95,medium body,low tannins,N/A,high acidity
Stoneleigh Marlborough Pinot Noir,18.95,medium body,N/A,berry,low acidity
Familia Schroeder Saurus Select Pinot Noir 2016,23.95,N/A,N/A,berry,high acidity
Latour Chardonnay Bourgogne,21.95,N/A,N/A,citrus,high acidity
Sterling Vintner's Collection Cabernet Sauvignon,16.95,N/A,low tannins,berry,low acidity
Bouchard Père & Fils Pouilly-Fuisse,31.95,light body,N/A,citrus,low acidity
Stratus Red Icewine 2016,36.25,N/A,N/A,berry,high acidity
Santa Carolina Reserva Carmenère,13.95,N/A,N/A,berry,N/A
Château des Charmes Gamay Noir VQA,15.95,N/A,N/A,berry,high acidity
Mission Hill Reserve Sauvignon Blanc 2017,22.95,light body,N/A,stone fruit,N/A
Kaiken Malbec,15.95,N/A,N/A,berry,high acidity
Jackson-Triggs Reserve Sauvignon Blanc VQA,14.25,N/A,N/A,citrus,high acidity
Angels Gate Gewurztraminer VQA,15.95,N/A,N/A,tropical fruit,N/A
Peller Estates Family Series Cabernet Merlot VQA,12.95,N/A,N/A,N/A,high acidity
XOXO Pinot Grigio Chardonnay,10.95,N/A,N/A,N/A,N/A
7 Deadly Zins Old Vine Zinfandel,26.95,full body,N/A,berry,N/A
20 Bees Pinot Grigio VQA,12.95,N/A,N/A,citrus,high acidity
Beringer Main & Vine White Zinfandel,20.95,N/A,N/A,citrus,low acidity
Peninsula Ridge Merlot VQA,15.95,N/A,low tannins,berry,N/A
Casillero del Diablo Reserva Cabernet Sauvignon,24.95,N/A,N/A,berry,N/A
Domaine de la Charbonnière Châteauneuf-du-Pape 2015,48.95,full body,low tannins,berry,N/A
Peller Family Vineyards Red,11.45,medium body,N/A,berry,N/A
Peller Family Vineyards Dry White,10.45,N/A,N/A,tropical fruit,low acidity
Wayne Gretzky Chardonnay VQA,14.95,full body,N/A,citrus,high acidity
Wayne Gretzky Merlot VQA,15.95,medium body,N/A,berry,high acidity
Cono Sur Bicicleta Viognier,11.45,N/A,N/A,tropical fruit,N/A
Featherstone Cabernet Franc,19.95,full body,N/A,fruity,high acidity
Strewn Rogue's Lot Cabernet Sauvignon Cabernet Franc VQA,14.95,N/A,low tannins,berry,high acidity
Eastdell Pinot Grigio VQA,14.95,N/A,N/A,fruity,low acidity
Inniskillin Unoaked Chardonnay VQA,13.95,N/A,N/A,stone fruit,N/A
Creekside Syrah VQA,15.95,N/A,N/A,berry,N/A
Megalomaniac Narcissist Riesling,18.95,N/A,N/A,citrus,N/A
Yellow Tail Pinot Grigio,10.45,light body,N/A,citrus,low acidity
Sawmill Creek Chardonnay,40.95,N/A,N/A,citrus,low acidity
Sawmill Creek Dry Red,37.95,medium body,N/A,berry,low acidity
Peller Family Vineyards Rosé,11.45,N/A,low tannins,berry,low acidity
Sawmill Creek Merlot,40.95,N/A,N/A,fruity,low acidity
Sawmill Creek Dry White,37.95,N/A,N/A,stone fruit,high acidity
Nederburg Manor House Shiraz 2015,16.95,full body,N/A,N/A,N/A
Giacomo Mori Chianti 2015,22.95,full body,N/A,N/A,N/A
Gnarly Head Cabernet Sauvignon,16.5,N/A,N/A,berry,high acidity
Imperial Fortified Wine,9.45,N/A,N/A,N/A,N/A
Monte Antico,15.95,light body,N/A,berry,N/A
Latour Pinot Noir,21.95,medium body,N/A,berry,N/A
Peninsula Ridge Shiraz VQA,15.95,N/A,N/A,berry,low acidity
Carlo Rossi California Red,14.9,N/A,N/A,fruity,high acidity
Carlo Rossi California White,14.9,N/A,N/A,fruity,high acidity
Real Sangria Spain,9.95,N/A,N/A,citrus,N/A
